"","Update","Unique.Phenotypes.Task","Shannon.Diversity","Unique.Phenotype.Count","Average.Phenotype.Diversity","Average.Task.Diversity","NA","Fitness","Generation","Pop.Size","Unique.Genotypes","Condition","Killed","Patches","Ecology","Initial.Pop","Seed"
"81",1e+05,55,2.83855,139,2.54585,6.24039,NA,4.43437,3377.41,0,0,"100_patches_3_cells_100_killed-pop10_9190",100,100,"N","pop10",9190
"82",1e+05,55,2.76839,138,2.91049,7.90674,NA,94.2931,3234.22,0,0,"100_patches_3_cells_100_killed-pop10_9191",100,100,"N","pop10",9191
"83",1e+05,61,2.51464,137,2.58698,6.38845,NA,4.54541,3470.56,0,0,"100_patches_3_cells_100_killed-pop10_9192",100,100,"N","pop10",9192
"84",1e+05,65,3.34448,127,2.81403,7.24113,NA,22.8586,3311.21,0,0,"100_patches_3_cells_100_killed-pop10_9193",100,100,"N","pop10",9193
"85",1e+05,49,2.49237,116,2.58697,6.39142,NA,3.42222,3560.65,0,0,"100_patches_3_cells_100_killed-pop10_9194",100,100,"N","pop10",9194
"86",1e+05,62,2.69461,132,2.56527,6.2988,NA,3.44882,3419.71,0,0,"100_patches_3_cells_100_killed-pop10_9195",100,100,"N","pop10",9195
"87",1e+05,63,3.51968,151,2.56079,6.45362,NA,10.3595,3367.45,0,0,"100_patches_3_cells_100_killed-pop10_9196",100,100,"N","pop10",9196
"88",1e+05,76,3.60553,168,2.83611,7.32727,NA,36.064,3114.23,0,0,"100_patches_3_cells_100_killed-pop10_9197",100,100,"N","pop10",9197
"89",1e+05,70,3.38469,180,2.7544,7.02816,NA,19.8839,3385.6,0,0,"100_patches_3_cells_100_killed-pop10_9198",100,100,"N","pop10",9198
"90",1e+05,65,3.37303,128,2.59795,6.73564,NA,5.27408,3426.75,0,0,"100_patches_3_cells_100_killed-pop10_9199",100,100,"N","pop10",9199
"91",1e+05,32,2.80363,169,2.09212,5.11617,NA,5.86799e+32,2060.98,0,0,"100_patches_3_cells_100_killed-pop1_9010",100,100,"N","pop1",9010
"92",1e+05,29,1.9457,98,2.22479,5.25173,NA,4.16599e+44,1815.35,0,0,"100_patches_3_cells_100_killed-pop1_9011",100,100,"N","pop1",9011
"93",1e+05,34,3.32675,128,1.71757,4.02602,NA,3.91674e+27,1059.46,0,0,"100_patches_3_cells_100_killed-pop1_9012",100,100,"N","pop1",9012
"94",1e+05,28,1.96191,120,2.14741,4.98462,NA,1.10658e+24,996.916,0,0,"100_patches_3_cells_100_killed-pop1_9013",100,100,"N","pop1",9013
"95",1e+05,36,2.64569,113,2.45585,6.14447,NA,8.64436e+37,2816.58,0,0,"100_patches_3_cells_100_killed-pop1_9014",100,100,"N","pop1",9014
"96",1e+05,35,2.49075,107,2.2406,5.22949,NA,5.37241e+26,1648.33,0,0,"100_patches_3_cells_100_killed-pop1_9015",100,100,"N","pop1",9015
"97",1e+05,30,2.40271,93,2.32866,5.87737,NA,4.29529e+34,1427.31,0,0,"100_patches_3_cells_100_killed-pop1_9016",100,100,"N","pop1",9016
