,update,merit,gestation,fitness,repro_rate,dep_size,copied_size,executed_size,dep_abundance,prop_birth,breed_true,dep_depth,generation,neutral,label,true_rep_rate,not,nand,and,orn,or,andn,nor,xor,equ,resnot,resand,resor,resnor,resnand,resorn,resandn,resxor,resequ,safe,inst_executed,popsize,genotypecount,thresholdgenotypes,numspecies,numthresholdspecies,numlineages,numbirths,numdeaths,numbreedtrue,numbreedtrue2,numnobirth,numsinglethreaded,nummultithreaded,nummodified,uniquephenotypetask,shannondiv,uniquephenotypecount,avgshannondiv,avgtaskdiv,seed,condition
91,100000,164890.0,1170.21,137.545,0,0,135.721,131.942,0,0.02079,0.0114345,0,3127.26,-23.3793,0,120.383,630.0,896.0,917.0,898.0,884.0,884.0,596.0,275.0,583.0,13.8136,9.50512,9.19489,9.073,9.62381,9.09282,14.2431,30.0821,13.975,930.0,28650.0,962.0,561.0,175.0,0.0,0.0,0.0,20.0,16.0,11.0,619.0,491.0,962.0,0.0,0.0,40.0,2.24487,71.0,2.69185,6.82273,10476,killed-pop4
192,100000,96440200000.0,4402.43,21905800.0,0,0,264.0,258.0,0,0.00729167,0.00729167,0,890.403,3.53513,0,15949300.0,960.0,960.0,0.0,960.0,960.0,960.0,960.0,0.0,960.0,24.2304,24.1936,994.992,23.5837,29.2168,23.2762,29.6025,994.992,29.8054,930.0,28800.0,960.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,7.0,960.0,489.0,960.0,0.0,0.0,1.0,0.0,1.0,2.80735,7.0,10043,ecology-pop3
293,100000,1287530000000.0,3107.42,396516000.0,0,0,441.724,320.106,0,0.00324675,0.0021645,0,1846.66,-18.0365,0,3.0614e+27,914.0,544.0,599.0,903.0,867.0,856.0,873.0,328.0,519.0,20.3888,47.3557,108.875,18.968,37.0581,40.4999,23.7708,54.904,67.0857,930.0,27690.0,924.0,768.0,110.0,0.0,0.0,0.0,3.0,5.0,2.0,281.0,454.0,924.0,0.0,0.0,38.0,2.80931,146.0,2.62941,6.930510000000001,10632,killed-pop2
394,100000,1051720000.0,2513.75,414047.0,0,0,344.605,318.551,0,0.0136555,0.0136555,0,1683.28,7.213989999999999,0,488426.0,952.0,563.0,339.0,952.0,952.0,613.0,952.0,389.0,563.0,22.3949,68.7348,66.1531,21.5279,21.4794,30.6169,25.6395,31.9633,36.2738,930.0,28500.0,952.0,3.0,3.0,0.0,0.0,0.0,13.0,15.0,13.0,952.0,470.0,952.0,0.0,0.0,3.0,1.54927,3.0,2.69168,6.59177,10422,ecology-pop2
495,100000,51458200000.0,4385.27,11734400.0,0,0,263.0,257.0,0,0.00317125,0.00317125,0,1021.8,23.499,0,9691920.0,946.0,946.0,0.0,946.0,946.0,946.0,946.0,0.0,946.0,21.6725,19.8631,994.992,32.6766,30.9603,31.1486,29.3766,994.992,31.8626,930.0,28380.0,946.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,946.0,467.0,946.0,0.0,0.0,1.0,0.0,2.0,2.80686,7.0,10248,ecology-pop3
596,100000,53497.4,1092.44,48.8703,0,0,127.43,125.375,0,0.00808898,0.00808898,0,2882.6,26.5715,0,34.2134,289.0,989.0,700.0,989.0,989.0,989.0,646.0,343.0,646.0,16.4995,5.9256400000000005,9.36693,5.96075,6.1522,6.00765,8.3944,21.572,8.56147,930.0,29610.0,989.0,3.0,3.0,0.0,0.0,0.0,8.0,10.0,8.0,989.0,479.0,989.0,0.0,0.0,3.0,1.5794700000000002,3.0,2.73036,6.653810000000001,10261,ecology-pop4
697,100000,6411870000.0,2816.54,2292530.0,0,0,269.701,254.67,0,0.003125,0.00104167,0,2279.58,0.790922,0,926534000000.0,711.0,912.0,290.0,930.0,882.0,940.0,615.0,900.0,918.0,37.0943,18.2719,83.1215,21.1336,23.9223,17.4412,31.9304,16.4752,16.2682,930.0,28800.0,960.0,774.0,132.0,0.0,0.0,0.0,3.0,3.0,1.0,284.0,478.0,960.0,0.0,0.0,46.0,2.0945400000000003,164.0,2.82755,7.39375,10095,killed-pop5
798,100000,202281.0,1214.51,165.05900000000003,0,0,244.936,191.582,0,0.015281799999999996,0.00668577,0,3101.55,12.527,0,116.871,544.0,637.0,571.0,616.0,967.0,978.0,672.0,807.0,271.0,13.2233,11.0111,11.8773,11.2948,7.87418,7.752510000000001,10.3663,8.50987,27.0573,9000.0,30960.0,1047.0,727.0,246.0,0.0,0.0,0.0,16.0,15.0,7.0,476.0,230.0,1047.0,0.0,0.0,62.0,3.99984,123.0,2.4127,5.78412,9794,killed-pop10
899,100000,91913.1,1000.22,87.8494,0,0,214.019,201.865,0,0.021148,0.021148,0,3022.03,3.59631,0,63.2568,679.0,993.0,679.0,993.0,679.0,679.0,679.0,993.0,314.0,9.29896,8.00388,9.64418,8.00868,9.7977,9.63439,9.76949,8.15121,48.9431,930.0,29730.0,993.0,2.0,2.0,0.0,0.0,0.0,21.0,21.0,21.0,993.0,503.0,993.0,0.0,0.0,2.0,0.899803,2.0,2.68416,6.73663,10384,ecology-pop10
1000,100000,8.72364e+18,6628.23,1196460000000000.0,0,0,369.391,349.663,0,0.00198216,0.00099108,0,705.3439999999998,23.1412,0,7.13741e+30,920.0,362.0,917.0,572.0,926.0,933.0,926.0,344.0,568.0,45.6452,146.918,52.4175,80.074,53.3197,39.4825,41.1227,151.784,85.8195,9000.0,30210.0,1009.0,865.0,340.0,0.0,0.0,0.0,2.0,7.0,1.0,328.0,233.0,1009.0,0.0,0.0,35.0,1.80223,142.0,2.52559,6.41218,9050,killed-pop3
