,update,merit,gestation,fitness,repro_rate,dep_size,copied_size,executed_size,dep_abundance,prop_birth,breed_true,dep_depth,generation,neutral,label,true_rep_rate,not,nand,and,orn,or,andn,nor,xor,equ,resnot,resand,resor,resnor,resnand,resorn,resandn,resxor,resequ,safe,inst_executed,popsize,genotypecount,thresholdgenotypes,numspecies,numthresholdspecies,numlineages,numbirths,numdeaths,numbreedtrue,numbreedtrue2,numnobirth,numsinglethreaded,nummultithreaded,nummodified,uniquephenotypetask,shannondiv,uniquephenotypecount,avgshannondiv,avgtaskdiv,seed,condition,patches,killed,ecology
100,100000,1.31963e+42,14215.7,7.2001e+37,0,0,795.033,790.541,0,0.0,0.0,0,978.5830000000001,38.3559,0,4.49507e+37,761.0,761.0,0.0,761.0,761.0,761.0,761.0,0.0,761.0,145.791,145.79399999999998,994.992,150.89600000000002,148.62,150.923,148.886,994.992,148.533,930.0,22860.0,761.0,199.0,197.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,374.0,761.0,0.0,0.0,1.0,0.0,1.0,2.80735,7.0,10847,test_command_results/1_patches_30_cells_500_killed_ecology-pop3_10847/data,1,500,Y
201,100000,2273650.0,1600.35,1419.68,0,0,182.863,172.987,0,0.013800399999999999,0.013800399999999999,0,2017.13,-46.9443,0,950.0989999999999,477.0,465.0,172.0,942.0,942.0,942.0,942.0,770.0,770.0,22.1953,22.5344,55.8489,11.8694,10.6202,17.1481,10.5201,14.0904,14.194,930.0,28230.0,942.0,3.0,3.0,0.0,0.0,0.0,13.0,13.0,13.0,942.0,449.0,942.0,0.0,0.0,3.0,1.4773100000000001,3.0,2.76671,6.81722,10680,test_command_results/1_patches_30_cells_400_killed_ecology-pop5_10680/data,1,400,Y
302,100000,742018000000.0,2979.25,167910000.0,0,0,217.778,212.128,0,0.00360036,0.00270027,0,632.618,-3.79981,0,3.02183e+40,809.0,371.0,803.0,432.0,771.0,811.0,804.0,361.0,426.0,18.81,79.7542,30.4497,40.3211,18.7397,20.36,20.359,85.13600000000001,44.8222,9000.0,33210.0,1111.0,970.0,448.0,0.0,0.0,0.0,4.0,5.0,3.0,689.0,454.0,1111.0,0.0,0.0,27.0,2.04887,183.0,1.98307,5.0208,11050,test_command_results/225_patches_2_cells_100_killed-pop3_11050/data,225,100,N
403,100000,629563000.0,2146.4,241617.0,0,0,360.85400000000004,317.22700000000003,0,0.011215000000000001,0.011215000000000001,0,1072.27,-3.4154,0,184725.0,884.0,739.0,884.0,866.0,522.0,884.0,455.0,362.0,522.0,13.5175,37.8085,16.3573,17.3344,56.8492,17.1637,23.2772,42.1289,36.999,9000.0,31740.0,1070.0,201.0,31.0,0.0,0.0,0.0,12.0,11.0,12.0,1062.0,388.0,1070.0,0.0,0.0,6.0,2.04766,12.0,2.23294,5.70633,9229,test_command_results/100_patches_3_cells_200_killed_ecology-pop2_9229/data,100,200,Y
496,100000,1.36965e+30,9064.73,9.24362e+25,0,0,742.27,560.001,0,0.00111111,0.0,0,1231.55,-53.7552,0,1.0840600000000002e+72,653.0,31.0,638.0,62.0,603.0,639.0,39.0,553.0,546.0,122.12700000000001,994.447,121.83200000000001,737.7539999999999,122.352,122.154,990.398,122.35799999999999,123.08200000000001,9000.0,27000.0,900.0,849.0,136.0,0.0,0.0,0.0,1.0,2.0,0.0,375.0,343.0,900.0,0.0,0.0,23.0,1.83138,58.0,1.8023099999999999,4.1802,9219,test_command_results/100_patches_3_cells_200_killed-pop1_9219/data,100,200,N
597,100000,3.5284500000000004e+40,14353.0,2.41384e+36,0,0,778.742,571.971,0,0.00326797,0.00108932,0,1954.84,-16.8797,0,-3.15453e+39,903.0,897.0,844.0,896.0,893.0,897.0,876.0,841.0,869.0,100.61,107.764,110.859,103.40100000000001,105.32799999999999,107.49600000000001,103.223,139.391,105.579,930.0,27510.0,918.0,870.0,37.0,0.0,0.0,0.0,3.0,2.0,1.0,121.0,479.0,918.0,0.0,0.0,23.0,0.852416,303.0,3.0402400000000003,8.62309,10851,test_command_results/1_patches_30_cells_500_killed-pop3_10851/data,1,500,N
683,100000,118148.0,1029.09,117.988,0,0,217.88400000000001,205.29,0,0.0196078,0.0196078,0,3040.27,3.4885599999999997,0,74.1732,710.0,969.0,710.0,969.0,710.0,710.0,710.0,969.0,259.0,10.1323,6.862360000000001,10.4549,6.9286,10.724,10.421,10.7527,6.87045,19.867,930.0,28980.0,969.0,2.0,2.0,0.0,0.0,0.0,19.0,21.0,19.0,969.0,478.0,969.0,0.0,0.0,2.0,0.83805,2.0,2.73237,6.929460000000001,10585,test_command_results/1_patches_30_cells_300_killed_ecology-pop10_10585/data,1,300,Y
778,100000,473623000.0,1884.16,194331.0,0,0,331.402,305.26,0,0.0129741,0.0129741,0,1211.12,-5.15115,0,123425.0,796.0,391.0,804.0,771.0,458.0,804.0,442.0,338.0,466.0,13.3518,52.3157,17.6358,19.0159,60.6391,17.1304,26.7361,43.1521,35.6651,9000.0,29700.0,1002.0,201.0,32.0,0.0,0.0,0.0,13.0,10.0,13.0,1001.0,340.0,1002.0,0.0,0.0,9.0,2.51218,14.0,2.13741,5.24673,9428,test_command_results/100_patches_3_cells_300_killed_ecology-pop2_9428/data,100,300,Y
887,100000,2.01843e+23,6974.76,2.0186e+19,0,0,434.281,251.89700000000002,0,0.0,0.0,0,1013.14,4.926419999999999,0,2.2421400000000003e+100,765.0,202.0,768.0,576.0,749.0,774.0,777.0,192.0,564.0,47.1263,136.789,62.0162,123.772,87.3449,74.91,46.2556,141.85,126.181,9000.0,27930.0,931.0,809.0,328.0,0.0,0.0,0.0,0.0,2.0,0.0,378.0,282.0,931.0,0.0,0.0,29.0,1.94287,128.0,2.28717,5.76211,9253,test_command_results/100_patches_3_cells_200_killed-pop3_9253/data,100,200,N
988,100000,133820.0,1094.86,119.23299999999999,0,0,139.268,135.70600000000002,0,0.011518299999999999,0.00628272,0,3369.38,-44.0059,0,84.7884,629.0,911.0,918.0,893.0,889.0,892.0,603.0,274.0,603.0,11.5971,7.733510000000001,7.96674,8.170739999999999,8.23,8.189169999999999,11.7719,27.3572,11.2551,930.0,28530.0,955.0,544.0,174.0,0.0,0.0,0.0,11.0,8.0,6.0,604.0,476.0,955.0,0.0,0.0,37.0,2.01418,64.0,2.71442,6.92243,10878,test_command_results/1_patches_30_cells_500_killed-pop4_10878/data,1,500,N
